编号,项目名称,项目链接,项目状态,项目标签,项目价格,项目描述
15047234,问卷调查  每稿六元（仅限深圳地区）,https://task.zbj.com/15047234/,比稿,"['工作中', '已托管', '问卷调查']",￥510,帮忙填写一份5-10分钟的问卷交稿要求：提供问卷填完截图，以利于比对进行质量验收和通过同一账号/IP地址的用户 只可填写一次问卷地址在附件里！！！拜托大家认真填写，我们会人工详细审核，再次表示感谢
14967103,中国·石家庄（正定）国际小商品博览会——会旗 设计,https://task.zbj.com/14967103/,比稿,"['工作中', '已托管', '其它广告设计']",￥10500,1.会旗应有河北省石家庄市正定县元素，并具有博览会的行业特点，同时体现正博会形象。2. 设计须有国际化风格，体现展会的国际化内涵，严肃庄重又不失活泼。3.可以参考正定国际博览会logo设计（正博会LOGO可从网上获取）。4.应符合旗帜动感设计思路，并按照标准旗帜尺寸设计。5.提交作品格式为jpg，尺寸：288x192mm，作品图形电子稿分辨率不低于300dpi（像素），JPG或TIF格式，一经采用，须提供源文件及矢量图。6、设计阐述：应说明作品设计的创意基础、设计思路、理念和含义等（Word文档体现）。
15067678,会员管理系统后台开发,https://task.zbj.com/15067678/,派单,"['匹配中', '订单管理软件开发', '全国']",￥20000,会员管理系统后台开发描述：会员管理周期要求：1个月项目预算：2万详细功能描述：具体跟服务商详谈架构：C/S、B/S 协商终端要求：电脑端服务商地域：重庆雇主地域：黑龙江服务商：地域不限段先生
15068604,APP定制开发,https://task.zbj.com/15068604/,招标,"['匹配中', 'APP定制开发', '重庆']",￥30000,ios 版本的gmssl+open威屁恩客户端
15060825,LOGO设计,https://task.zbj.com/15060825/,招标,"['匹配中', 'LOGO']",可议价,LOGO设计
15069728,我需要LOGO设计,https://task.zbj.com/15069728/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15063071,LOGO设计,https://task.zbj.com/15063071/,招标,"['匹配中', 'LOGO']",可议价,需求：logo设计
15069756,重庆两江新区网吧协会需要logo,https://task.zbj.com/15069756/,招标,"['匹配中', 'VI定制品']",可议价,logo设计 重庆两江新区网吧协会 是网吧行业协会，但现在全行业大部分转型为了网咖，现在部分会员单位已开始向电竞方向在转型升级 现协会需要设计一个logo或一套VI
15069837,APP开发,https://task.zbj.com/15069837/,招标,"['匹配中', 'APP定制开发']",可议价,我需要APP开发
15069742,需要app定制开发,https://task.zbj.com/15069742/,招标,"['匹配中', 'APP定制开发']",可议价,APP开发
15069739,我需要网站定制开发,https://task.zbj.com/15069739/,招标,"['匹配中', '网站定制开发']",可议价,我想找人做: 网站设计
15069733,需要网站定制开发,https://task.zbj.com/15069733/,招标,"['匹配中', '网站定制开发']",可议价,免签支付功能
15043497,我需要软件插件开发,https://task.zbj.com/15043497/,招标,"['匹配中', '软件插件开发']",￥500,按键过滑块本地识别给源码，353578920+q
15060735,LOGO设计,https://task.zbj.com/15060735/,派单,"['匹配中', 'LOGO']",可议价,LOGO设计
15038362,H5开发定制化服务,https://task.zbj.com/15038362/,招标,"['匹配中', 'H5定制开发']",可议价,微沙盘当前下单产品：https://yx.zbj.com/detail/80000133
15062292,LOGO设计,https://task.zbj.com/15062292/,招标,"['匹配中', 'LOGO']",可议价,需求：logo设计
15067620,LOGO设计,https://task.zbj.com/15067620/,招标,"['匹配中', 'LOGO']",￥1000,LOGO设计
15068918,oa软件开发,https://task.zbj.com/15068918/,派单,"['匹配中', 'OA软件开发', '全国']",可议价,"【软件开发】标题： oa软件开发功能描述：JAVA,jsp,js开发，应用软件是泛微oa，开发jsp及js，及webservices开发周期：详谈预算金额：报价对服务商要求：广州优先雇主所在地：  广州佛山  刘先生"
15034876,我需要软件开发,https://task.zbj.com/15034876/,招标,"['匹配中', '其它管理软件开发']",可议价,我需要软件开发
15060694,LOGO设计,https://task.zbj.com/15060694/,招标,"['匹配中', 'LOGO']",可议价,LOGO设计
15069704,我需要PPT设计,https://task.zbj.com/15069704/,招标,"['匹配中', 'PPT设计']",可议价,我需要PPT设计
15069707,起名取名,https://task.zbj.com/15069707/,招标,"['匹配中', '品牌起名']",可议价,起名取名
15067200,LOGO设计,https://task.zbj.com/15067200/,招标,"['匹配中', 'LOGO']",可议价,LOGO设计
15069710,我需要人事专员,https://task.zbj.com/15069710/,招标,"['匹配中', '人事专员']",可议价,找人
15069722,我需要LOGO设计,https://task.zbj.com/15069722/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15069717,LOGO设计,https://task.zbj.com/15069717/,招标,"['匹配中', 'LOGO']",可议价,LOGO设计
15067183,创意广告语,https://task.zbj.com/15067183/,招标,"['匹配中', '营销策划']",可议价,九团黄永a，客户需要文案策划，文案设计，请尽快联系当前下单产品：https://yx.zbj.com/detail/80000108
15017289,LOGO设计,https://task.zbj.com/15017289/,招标,"['匹配中', 'LOGO']",￥1000,LOGO设计
15069687,我需室内家俱布置图,https://task.zbj.com/15069687/,招标,"['匹配中', '住宅']",￥1000以内,已有房屋平面图，需要设计（已有草图）、绘制室内家俱布置图。
15069670,我需要LOGO设计,https://task.zbj.com/15069670/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15069695,我需要LOGO设计,https://task.zbj.com/15069695/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15069679,我需要文案撰写,https://task.zbj.com/15069679/,招标,"['匹配中', '广告创意类文案']",可议价,我需要文案撰写
15060291,LOGO设计,https://task.zbj.com/15060291/,招标,"['匹配中', 'LOGO']",可议价,需求：logo设计
15069692,我需要起名取名,https://task.zbj.com/15069692/,招标,"['匹配中', '品牌起名']",可议价,我需要起名取名
15026582,舞蹈工作室-需要微信代运营,https://task.zbj.com/15026582/,派单,"['匹配中', '营销策划', '深圳']",￥1,我需要：微信代运营；需求：1、公众号是服务号，一周可发表一篇文章2、公众号三个分类：一是工作室介绍、二是课程介绍、三是工作室地址3、原创类文章和半原创类文章都可接受，关键是要性价比高4、可以接受长期合作，半年或者一年合作，最好是有几个套餐可以选择5、预算具体沟通
15058958,LOGO设计,https://task.zbj.com/15058958/,派单,"['匹配中', 'LOGO']",可议价,LOGO设计
15042895,大赛商机,https://task.zbj.com/15042895/,招标,"['匹配中', '案例查询']",可议价,大赛商机
14976068,视频设计,https://task.zbj.com/14976068/,招标,"['匹配中', '影视活动策划', '重庆']",可议价,需求：企业宣传片拍摄，制作内容：短视频10秒，适合发布微信朋友圈，抖音，火山等，一天一条图片3-6-9张/每天，适合发朋友圈等
15069660,我需要品牌整合营销全案,https://task.zbj.com/15069660/,招标,"['匹配中', '品牌整合营销全案']",可议价,整合营销
15069655,我需要LOGO设计,https://task.zbj.com/15069655/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15069666,我需要品牌取名,https://task.zbj.com/15069666/,招标,"['匹配中', '品牌起名']",可议价,我需要品牌取名
15069658,我需要信息推送,https://task.zbj.com/15069658/,招标,"['匹配中', '短信营销工具']",可议价,我需要信息推送
15069661,我需要视频制作,https://task.zbj.com/15069661/,招标,"['匹配中', '视频定制']",可议价,我需要视频制作
15069653,我需要logo,https://task.zbj.com/15069653/,招标,"['匹配中', 'LOGO']",可议价,我想找人做: logo设计
14978522,国际贸易logo设计,https://task.zbj.com/14978522/,招标,"['匹配中', 'LOGO', '重庆']",可议价,需求：品牌设计行业：国际贸易风格：中国传统元素，国际范，个人信仰
15069641,我需要小程序,https://task.zbj.com/15069641/,招标,"['匹配中', '小程序']",￥5000,我需要小程序
15069644,私人诊所广告类创意文案,https://task.zbj.com/15069644/,招标,"['匹配中', '广告创意类文案']",￥1000以内,我一朋友从医多年（会看病会开药）。但是一直没有去考取职业医师证。现在他想自己开诊所，但是法律上没有医师证是不能注册个体诊所也不能给人看病开药的。所以想在此请高人出个主意：取个店名（病人一看店名就知道是诊所）。但是这个店名又不能违法，要能在工商局登记注册个体户。店名绝不能含有“诊所”二字。这个擦边球要怎么打呢？请高人出谋划策。一经选用，必有重谢！注：他主要是看皮肤病。
15069645,我需要人事专员,https://task.zbj.com/15069645/,招标,"['匹配中', '人事专员']",可议价,我想找人做: 赚钱
15069647,我需要视频剪辑,https://task.zbj.com/15069647/,招标,"['匹配中', '剪辑服务']",可议价,我需要视频剪辑
15069646,我需要小程序,https://task.zbj.com/15069646/,招标,"['匹配中', '小程序']",可议价,我需要小程序
15069633,需要网店代运营,https://task.zbj.com/15069633/,招标,"['匹配中', '网店代运营']",可议价,电商服务
15069449,机械设计,https://task.zbj.com/15069449/,招标,"['匹配中', '非标机械设计']",可议价,我需要机械设计
15069630,需要网店代运营,https://task.zbj.com/15069630/,招标,"['匹配中', '网店代运营']",可议价,电商服务
15057136,LOGO设计,https://task.zbj.com/15057136/,派单,"['匹配中', 'LOGO']",可议价,LOGO设计
15069611,我需要小程序,https://task.zbj.com/15069611/,招标,"['匹配中', '小程序']",可议价,我需要小程序
15069594,我需要小程序,https://task.zbj.com/15069594/,招标,"['匹配中', '小程序']",可议价,我需要小程序
15069618,我需要影视文案策划,https://task.zbj.com/15069618/,招标,"['匹配中', '影视文案策划']",可议价,影视文案策划
15069593,我需要品牌起名,https://task.zbj.com/15069593/,招标,"['匹配中', '品牌起名']",可议价,雇主4取经团姜清苹客户注册商标 有中文商标 要起英文名字做设计价格暂定
15069602,LOGO设计,https://task.zbj.com/15069602/,招标,"['匹配中', 'LOGO']",可议价,LOGO设计
15069595,我需要客服外包,https://task.zbj.com/15069595/,招标,"['匹配中', '客服外包']",可议价,我想找人做: 客服外包
15069590,我需要视频制作,https://task.zbj.com/15069590/,招标,"['匹配中', '视频定制']",可议价,我需要视频制作
15069596,我需要起名取名,https://task.zbj.com/15069596/,招标,"['匹配中', '品牌起名']",可议价,我需要起名取名
15069591,需要微信代运营,https://task.zbj.com/15069591/,招标,"['匹配中', '微信代运营']",可议价,营销传播
15069818,我需要摄影师,https://task.zbj.com/15069818/,招标,"['匹配中', '摄影师']",可议价,摄影师
15069585,我需要小程序,https://task.zbj.com/15069585/,招标,"['匹配中', '小程序']",￥1000以内,我需要小程序
15069565,我需要视频制作,https://task.zbj.com/15069565/,招标,"['匹配中', '视频定制']",可议价,我需要视频制作
15069556,我需要广告牌设计,https://task.zbj.com/15069556/,招标,"['匹配中', '户外广告设计']",可议价,我要找人做广告牌设计
15069552,需要网店代运营,https://task.zbj.com/15069552/,招标,"['匹配中', '网店代运营']",可议价,电商服务
15069554,我需要手机app游戏开发,https://task.zbj.com/15069554/,招标,"['匹配中', '手机APP游戏开发']",可议价,我想找人做: 游戏
15069551,我需要游戏试玩/代练,https://task.zbj.com/15069551/,招标,"['匹配中', '游戏试玩']",可议价,我需要游戏试玩/代练
15069511,我需要LOGO设计,https://task.zbj.com/15069511/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15069476,我需要小程序,https://task.zbj.com/15069476/,招标,"['匹配中', '小程序']",￥1000以内,我需要小程序
15069859,我需要人事专员,https://task.zbj.com/15069859/,招标,"['匹配中', '人事专员']",可议价,我想找人做: 2000
15069515,我需要开店入驻,https://task.zbj.com/15069515/,招标,"['匹配中', '开店入驻']",可议价,我需要开店入驻
15069499,我需要游戏试玩/代练,https://task.zbj.com/15069499/,招标,"['匹配中', '游戏试玩']",可议价,我需要游戏试玩/代练
15069475,我需要LOGO设计,https://task.zbj.com/15069475/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15069524,我需要LOGO设计,https://task.zbj.com/15069524/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15069484,我需要整体装修,https://task.zbj.com/15069484/,招标,"['匹配中', '整体装修']",可议价,我想找人做: 整体装修
15069527,需要展厅设计,https://task.zbj.com/15069527/,招标,"['匹配中', '展厅设计']",可议价,我需要展厅效果图
15069492,我需要游戏试玩/代练,https://task.zbj.com/15069492/,招标,"['匹配中', '游戏试玩']",可议价,我需要游戏试玩/代练
15069508,我需要游戏试玩/代练,https://task.zbj.com/15069508/,招标,"['匹配中', '游戏试玩']",可议价,我需要游戏试玩/代练
15069542,需要品牌起名,https://task.zbj.com/15069542/,招标,"['匹配中', '品牌起名']",可议价,我想找人做电商服务
15069509,我需要LOGO设计,https://task.zbj.com/15069509/,招标,"['匹配中', 'LOGO']",可议价,我需要LOGO设计
15069503,我需要游戏试玩/代练,https://task.zbj.com/15069503/,招标,"['匹配中', '游戏试玩']",可议价,我需要游戏试玩/代练
15069528,我需要网络销售,https://task.zbj.com/15069528/,招标,"['匹配中', '网络销售']",可议价,我需要销售
15069498,我需要游戏试玩/代练,https://task.zbj.com/15069498/,招标,"['匹配中', '游戏试玩']",可议价,我需要游戏试玩/代练
15069548,我需要棋牌游戏开发,https://task.zbj.com/15069548/,招标,"['匹配中', '其他类棋牌']",可议价,我需要棋牌游戏开发
15069457,网站定制开发,https://task.zbj.com/15069457/,招标,"['匹配中', '网站定制开发', '重庆']",可议价,网站建设
15069450,我需要开店入驻,https://task.zbj.com/15069450/,招标,"['匹配中', '网店代运营']",可议价,我需要开店入驻
15068815,我需要创意文案,https://task.zbj.com/15068815/,招标,"['匹配中', '创意文案']",￥100,淘宝天猫代运营店铺网店托管京东拼多多流量诊断手机无线包月推广
15069443,我需要游戏试玩/代练,https://task.zbj.com/15069443/,招标,"['匹配中', '游戏试玩']",￥5000,我需要游戏试玩/代练
15069462,需要网站定制开发,https://task.zbj.com/15069462/,招标,"['匹配中', '网站定制开发']",可议价,网站建设
15069463,我需要专属签名设计,https://task.zbj.com/15069463/,招标,"['匹配中', '专属签名设计']",可议价,我想找人做: 艺术签名
15069466,我需要游戏试玩/代练,https://task.zbj.com/15069466/,招标,"['匹配中', '游戏试玩']",可议价,我需要游戏试玩/代练
15069456,我需要线下微信推广,https://task.zbj.com/15069456/,招标,"['匹配中', '线下微信推广']",可议价,我想找人做: 微信推广
15069438,我需要产品销售外包,https://task.zbj.com/15069438/,招标,['匹配中'],可议价,我需要产品销售外包
15069432,需要微信代运营,https://task.zbj.com/15069432/,招标,"['匹配中', '微信代运营']",可议价,营销传播
15069428,LOGO设计,https://task.zbj.com/15069428/,招标,"['匹配中', 'LOGO']",可议价,LOGO设计
